s,x_right,y_right,x_left,y_left,psi_center,kappa_center,v_ref,x_centerline,y_centerline,lane_width,x_left_border,y_left_border,x_right_border,y_right_border
85,85,-0.921359076035249,85,2.77864092396475,0.0092514380622383,-5.72747096350459E-05,10,85,0.928640923964751,3.7,84.982885083729,4.62856175460617,85.017114916271,-2.77127990667667
86,86,-0.912136015496442,86,2.78786398450356,0.0091938755512605,-5.78436417684579E-05,10,86,0.937863984503557,3.7,85.9829915698455,4.63778579725773,86.0170084301545,-2.76205782825061
87,87,-0.902970806825934,87,2.79702919317407,0.0091357458891596,-5.84090079670761E-05,10,87,0.947029193174066,3.7,86.983099105204,4.64695199149704,87.016900894796,-2.75289360514891
88,88,-0.893864015376966,88,2.80613598462303,0.0090770526602327,-5.89707733316125E-05,10,88,0.956135984623034,3.7,87.9832076831753,4.6560597717277,88.0167923168247,-2.74378780248163
89,89,-0.884816202899332,89,2.81518379710067,0.0090177994835574,-5.95289031831648E-05,10,89,0.965183797100668,3.7,88.9833172970658,4.66510857595596,89.0166827029342,-2.73474098175463
90,90,-0.875827927504725,90,2.82417207249528,0.0089579900127698,-6.00833630658952E-05,10,90,0.974172072495275,3.7,89.9834279401176,4.67409784582545,90.0165720598825,-2.7257537008349
91,91,-0.866899743632309,91,2.83310025636769,0.0088976279358397,-6.06341187495407E-05,10,91,0.983100256367691,3.7,90.9835396055095,4.68302702665164,91.0164603944905,-2.71682651391626
92,92,-0.858032202014523,92,2.84196779798548,0.0088367169748437,-6.11811362312166E-05,10,92,0.991967797985478,3.7,91.9836522863573,4.69189556745613,92.0163477136427,-2.70795997148517
93,93,-0.849225849643101,93,2.8507741503569,0.0087752608857358,-6.17243817375933E-05,10,93,1.0007741503569,3.7,92.983765975714,4.70070292100065,93.016234024286,-2.69915462028685
94,94,-0.84048122973534,94,2.85951877026466,0.0087132634581174,-6.22638217263587E-05,10,94,1.00951877026466,3.7,93.9838806665702,4.70944854382088,94.0161193334298,-2.69041100329156
95,95,-0.831798881700588,95,2.86820111829941,0.0086507285150044,-6.27994228891557E-05,10,95,1.01820111829941,3.7,94.9839963518548,4.71813189626005,95.0160036481453,-2.68172965966122
96,96,-0.823179341106967,96,2.87682065889303,0.0085876599125912,-6.33311521539038E-05,10,96,1.02682065889303,3.7,95.9841130244353,4.7267524425022,96.0158869755648,-2.67311112471614
97,97,-0.814623139648344,97,2.88537686035166,0.0085240615400134,-6.3858976685766E-05,10,97,1.03537686035166,3.7,96.9842306771181,4.73530965060536,97.0157693228819,-2.66455592990205
98,98,-0.806130805111529,98,2.89386919488847,0.0084599373191099,-6.43828638895553E-05,10,98,1.04386919488847,3.7,97.9843493026494,4.74380299253433,98.0156506973507,-2.65606460275739
99,99,-0.797702861343717,99,2.90229713865628,0.0083952912041806,-6.49027814124781E-05,10,99,1.05229713865628,3.7,98.9844688937149,4.75223194419338,99.0155311062851,-2.64763766688081
100,100,-0.789339828220179,100,2.91066017177982,0.0083301271817432,-6.54186971454935E-05,10,100,1.06066017177982,3.7,99.9845894429409,4.76059598545854,100.015410557059,-2.63927564189889
101,101,-0.781042221612192,101,2.91895777838781,0.0082644492702883,-6.59305792251607E-05,10,101,1.06895777838781,3.7,100.984710942895,4.76889460020979,101.015289057105,-2.63097904343418
102,102,-0.772810553355217,102,2.92718944664478,0.0081982615200322,-6.64383960363902E-05,10,102,1.07718944664478,3.7,101.984833386084,4.77712727636295,102.015166613916,-2.62274838307338
103,103,-0.764645331217326,103,2.93535466878267,0.0081315680126668,-6.69421162136896E-05,10,103,1.08535466878267,3.7,102.98495676496,4.78529350590123,103.01504323504,-2.61458416833588
104,104,-0.756547058867883,104,2.94345294113212,0.0080643728611096,-6.74417086431262E-05,10,104,1.09345294113212,3.7,103.985081071915,4.79339278490672,104.014918928085,-2.60648690264248
105,105,-0.748516235846472,105,2.95148376415353,0.0079966802092502,-6.79371424649115E-05,10,105,1.10148376415353,3.7,104.985206299283,4.80142461359145,105.014793700717,-2.59845708528439
106,106,-0.740553357532086,106,2.95944664246791,0.0079284942316947,-6.84283870749288E-05,10,106,1.10944664246791,3.7,105.985332439342,4.80938849632829,106.014667560658,-2.59049521139246
107,107,-0.732658915112567,107,2.96734108488743,0.0078598191335094,-6.891541212653E-05,10,107,1.11734108488743,3.7,106.985459484315,4.81728394168156,107.014540515685,-2.58260177190669
108,108,-0.724833395554311,108,2.97516660444569,0.0077906591499614,-6.93981875323979E-05,10,108,1.12516660444569,3.7,107.985587426367,4.82511046243741,108.014412573633,-2.57477725354603
109,109,-0.717077281572225,109,2.98292271842778,0.0077210185462588,-6.9876683466854E-05,10,109,1.13292271842778,3.7,108.985716257609,4.83286757563388,109.014283742391,-2.56702213877833
110,110,-0.709391051599954,110,2.99060894840005,0.0076509016172867,-7.03508703674359E-05,10,110,1.14060894840005,3.7,109.985845970096,4.84055480259078,110.014154029904,-2.55933690579069
111,111,-0.701775179760368,111,2.99822482023963,0.0075803126873442,-7.08207189365389E-05,10,111,1.14822482023963,3.7,110.98597655583,4.84817166893924,111.01402344417,-2.55172202845997
112,112,-0.694230135836316,112,3.00576986416368,0.007509256109877,-7.12862001436641E-05,10,112,1.15576986416368,3.7,111.986108006757,4.85571770465101,112.013891993243,-2.54417797632364
113,113,-0.686756385241648,113,3.01324361475835,0.00743773626721,-7.17472852270068E-05,10,113,1.16324361475835,3.7,112.986240314771,4.86319244406753,113.013759685229,-2.53670521455082
114,114,-0.679354388992505,114,3.02064561100749,0.0073657575702773,-7.22039456954249E-05,10,114,1.17064561100749,3.7,113.986373471712,4.87059542592865,114.013626528288,-2.52930420391366
115,115,-0.672024603678882,115,3.02797539632112,0.00729332445835,-7.26561533299148E-05,10,115,1.17797539632112,3.7,114.98650746937,4.87792619340119,115.01349253063,-2.52197540075896
116,116,-0.664767481436464,116,3.03523251856354,0.0072204413987635,-7.31038801854763E-05,10,116,1.18523251856354,3.7,115.98664229948,4.88518429410711,116.01335770052,-2.51471925698004
117,117,-0.657583469918735,117,3.04241653008127,0.007147112886642,-7.35470985931944E-05,10,117,1.19241653008127,3.7,116.986777953727,4.89236928015148,117.013222046273,-2.50753621998895
118,118,-0.650473012269364,118,3.04952698773064,0.0070733434446214,-7.39857811616609E-05,10,118,1.19952698773064,3.7,117.986914423745,4.89948070815017,118.013085576255,-2.5004267326889
119,119,-0.643436547094873,119,3.05656345290513,0.006999137622571,-7.44199007787833E-05,10,119,1.20656345290513,3.7,118.987051701117,4.90651813925721,119.012948298883,-2.49339123344696
120,120,-0.636474508437579,120,3.06352549156242,0.0069244999973127,-7.48494306134276E-05,10,120,1.21352549156242,3.7,119.987189777378,4.91348113919195,120.012810222622,-2.4864301560671
121,121,-0.629587325748819,121,3.07041267425118,0.0068494351723395,-7.52743441171688E-05,10,121,1.22041267425118,3.7,120.987328644011,4.92036927826582,121.012671355989,-2.47954392976346
122,122,-0.622775423862465,122,3.07722457613754,0.0067739477775314,-7.56946150257136E-05,10,122,1.22722457613754,3.7,121.987468292451,4.92718213140898,122.012531707549,-2.47273297913391
123,123,-0.61603922296871,123,3.08396077703129,0.0066980424688707,-7.61102173609905E-05,10,123,1.23396077703129,3.7,122.987608714086,4.93391927819649,123.012391285914,-2.46599772413391
124,124,-0.609379138588157,124,3.09062086141184,0.0066217239281541,-7.65211254327325E-05,10,124,1.24062086141184,3.7,123.987749900256,4.94058030287435,124.012250099744,-2.45933858005066
125,125,-0.602795581546182,125,3.09720441845382,0.0065449968627047,-7.69273138395126E-05,10,125,1.24720441845382,3.7,124.987891842251,4.94716479438513,125.012108157749,-2.45275595747749
126,126,-0.596288957947595,126,3.10371104205241,0.0064678660050821,-7.73287574711095E-05,10,126,1.25371104205241,3.7,125.988034531317,4.95367234639344,126.011965468683,-2.44625026228863
127,127,-0.589859669151587,127,3.11014033084841,0.0063903361127897,-7.7725431509485E-05,10,127,1.26014033084841,3.7,126.988177958653,4.960102557311,127.011822041347,-2.43982189561417
128,128,-0.583508111746978,128,3.11649188825302,0.0063124119679827,-7.81173114304842E-05,10,128,1.26649188825302,3.7,127.988322115413,4.96645503032142,128.011677884587,-2.43347125381538
129,129,-0.577234677527745,129,3.12276532247226,0.0062340983771721,-7.85043730059222E-05,10,129,1.27276532247226,3.7,128.988466992706,4.9727293734048,129.011533007294,-2.42719872846029
130,130,-0.571039753468862,130,3.12896024653114,0.0061554001709288,-7.88865923042855E-05,10,130,1.27896024653114,3.7,129.988612581594,4.97892519936188,130.011387418406,-2.4210047062996
131,131,-0.564923721702426,131,3.13507627829757,0.0060763222035861,-7.92639456927113E-05,10,131,1.28507627829757,3.7,130.988758873097,4.985042125838,131.011241126903,-2.41488956924285
132,132,-0.558886959494085,132,3.14111304050592,0.0059968693529394,-7.96364098385188E-05,10,132,1.29111304050592,3.7,131.988905858193,4.99107977534672,132.011094141807,-2.40885369433489
133,133,-0.552929839219767,133,3.14707016078023,0.0059170465199464,-8.0003961710244E-05,10,133,1.29707016078023,3.7,132.989053527814,4.99703777529317,133.010946472186,-2.4028974537327
134,134,-0.547052728342713,134,3.15294727165729,0.0058368586284242,-8.0366578579618E-05,10,134,1.30294727165729,3.7,133.989201872851,5.00291575799701,134.010798127149,-2.39702121468243
135,135,-0.541255989390804,135,3.1587440106092,0.0057563106247458,-8.07242380230439E-05,10,135,1.3087440106092,3.7,134.989350884154,5.00871336071522,135.010649115846,-2.39122533949683
136,136,-0.535539979934205,136,3.1644600200658,0.0056754074775345,-8.10769179221325E-05,10,136,1.3144600200658,3.7,135.989500552532,5.01443022566449,136.010499447468,-2.3855101855329
137,137,-0.529905052563302,137,3.1700949474367,0.0055941541773587,-8.14245964658462E-05,10,137,1.3200949474367,3.7,136.989650868751,5.0200660000433,137.010349131249,-2.37987610516991
138,138,-0.52435155486696,138,3.17564844513304,0.0055125557364226,-8.17672521523663E-05,10,138,1.32564844513304,3.7,137.989801823539,5.02562033605378,138.010198176461,-2.3743234457877
139,139,-0.518879829411075,139,3.18112017058892,0.0054306171882571,-8.21048637891817E-05,10,139,1.33112017058892,3.7,138.989953407584,5.03109289092315,139.010046592416,-2.3688525497453
140,140,-0.513490213717449,140,3.18650978628255,0.0053483435874104,-8.24374104950123E-05,10,140,1.33650978628255,3.7,139.990105611535,5.03648332692493,140.009894388465,-2.36346375435983
141,141,-0.508183040242963,141,3.19181695975704,0.0052657400091351,-8.27648717017316E-05,10,141,1.34181695975704,3.7,140.990258426002,5.0417913113998,141.009741573998,-2.35815739188572
142,142,-0.502958636359077,142,3.19704136364092,0.0051828115490746,-8.30872271547877E-05,10,142,1.34704136364092,3.7,141.99041184156,5.04701651677616,142.00958815844,-2.35293378949431
143,143,-0.497817324331632,143,3.20218267566837,0.00509956332295,-8.34044569146271E-05,10,143,1.35218267566837,3.7,142.990565848743,5.05215862059037,143.009434151257,-2.34779326925363
144,144,-0.492759421300971,144,3.20724057869903,0.0050160004662434,-8.37165413583396E-05,10,144,1.35724057869903,3.7,143.99072043805,5.0572173055067,144.00927956195,-2.34273614810864
145,145,-0.487785239262379,145,3.21221476073762,0.0049321281338813,-8.40234611806899E-05,10,145,1.36221476073762,3.7,144.990875599946,5.0621922593369,145.009124400054,-2.33776273786166
146,146,-0.482895085046833,146,3.21710491495317,0.004847951499916,-8.43251973955939E-05,10,146,1.36710491495317,3.7,145.991031324857,5.06708317505953,146.008968675144,-2.3328733451532
147,147,-0.47808926030208,147,3.22191073969792,0.0047634757572064,-8.46217313368219E-05,10,147,1.37191073969792,3.7,146.991187603176,5.07188975083892,147.008812396824,-2.32806827144308
148,148,-0.473368061474029,148,3.22663193852597,0.0046787061170978,-8.49130446591402E-05,10,148,1.37663193852597,3.7,147.991344425262,5.0766116900438,148.008655574738,-2.32334781299186
